epoch,step,train_loss
0,49,2.863208532333374
1,99,2.6795270442962646
2,149,2.7160491943359375
3,199,2.678083896636963
4,249,2.623775005340576
5,299,2.470036268234253
6,349,2.5615932941436768
7,399,2.591794490814209
8,449,2.5891571044921875
9,499,2.513795852661133
10,549,2.5045576095581055
11,599,2.442086935043335
12,649,2.2750346660614014
13,699,2.5051662921905518
14,749,2.491091251373291
15,799,2.425410032272339
16,849,2.382564067840576
17,899,2.4330501556396484
18,949,2.443129062652588
19,999,2.60539174079895
20,1049,2.336681604385376
21,1099,2.472282648086548
22,1149,2.453301429748535
23,1199,2.4411590099334717
24,1249,2.3395562171936035
25,1299,2.4274425506591797
26,1349,2.260911464691162
27,1399,2.4423418045043945
28,1449,2.2778735160827637
29,1499,2.3733298778533936
30,1549,2.268258810043335
31,1599,2.4092705249786377
32,1649,2.256624221801758
33,1699,2.3781683444976807
34,1749,2.336085319519043
35,1799,2.291459321975708
36,1849,2.233692169189453
37,1899,2.2533559799194336
38,1949,2.3231914043426514
39,1999,2.2597451210021973
40,2049,2.2765564918518066
41,2099,2.3470618724823
42,2149,2.246148109436035
43,2199,2.270782709121704
44,2249,2.1876752376556396
45,2299,2.2201430797576904
46,2349,2.2349092960357666
47,2399,2.3229594230651855
48,2449,2.2055728435516357
49,2499,2.129559278488159
50,2549,2.1554553508758545
51,2599,2.2560009956359863
52,2649,2.2061476707458496
53,2699,2.1572000980377197
54,2749,2.2284069061279297
55,2799,2.189208507537842
56,2849,2.265709161758423
57,2899,2.1813364028930664
58,2949,2.2133092880249023
59,2999,2.1736979484558105
60,3049,2.0998594760894775
61,3099,2.0532712936401367
62,3149,2.149923086166382
63,3199,2.131411075592041
64,3249,2.175232172012329
65,3299,2.1027495861053467
66,3349,2.1114261150360107
67,3399,2.0223233699798584
68,3449,2.121734380722046
69,3499,2.0795140266418457
70,3549,1.8971377611160278
71,3599,2.0684170722961426
72,3649,1.9956116676330566
73,3699,2.1567306518554688
74,3749,2.040287971496582
75,3799,2.015641212463379
76,3849,2.0190329551696777
77,3899,2.0352461338043213
78,3949,1.959313988685608
79,3999,2.0362768173217773
80,4049,2.1154847145080566
81,4099,2.1690454483032227
82,4149,2.0014593601226807
83,4199,1.9823611974716187
84,4249,2.0547385215759277
85,4299,1.9944015741348267
86,4349,2.0612149238586426
87,4399,1.9282878637313843
88,4449,1.9967303276062012
89,4499,1.9533107280731201
90,4549,1.9595669507980347
91,4599,1.9585371017456055
92,4649,1.9495106935501099
93,4699,1.8808600902557373
94,4749,1.8566187620162964
95,4799,2.0527870655059814
96,4849,2.024017572402954
97,4899,1.9776972532272339
98,4949,1.8776228427886963
99,4999,1.9655417203903198
100,5049,2.0137691497802734
101,5099,1.9071455001831055
102,5149,2.00962233543396
103,5199,1.908896803855896
104,5249,1.8637375831604004
105,5299,1.976780891418457
106,5349,1.9576621055603027
107,5399,1.9684538841247559
108,5449,1.8898051977157593
109,5499,1.9352420568466187
110,5549,1.9600661993026733
111,5599,1.9229910373687744
112,5649,1.9912887811660767
113,5699,2.0154292583465576
114,5749,1.8877747058868408
115,5799,1.9236085414886475
116,5849,1.7970041036605835
117,5899,1.9320266246795654
118,5949,1.9581338167190552
119,5999,2.0230371952056885
120,6049,1.9063398838043213
121,6099,1.9728825092315674
122,6149,1.9197049140930176
123,6199,1.924787163734436
124,6249,1.931968092918396
