book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,DTW_Shape,DTW_Time,Total_Sales
ＳｐｏｒｔｓＧｒａｐｈｉｃＮｕｍｂｅｒ_original,7.1577835,10.705357,145.06117,458.09814,282.16486,295.10806,0.6875,62.34398436287735,5.896907216494846,684.0
ＴＯＥＩＣＬ＆ＲＴＥＳＴ_はじめから超,0.7531973,1.0668734,13.144424,48.204628,31.43882,30.92929,0.890625,8.247728884886984,5.065934065934066,62.0
ＴｈｅＪＯＪＯＬａｎｄｓ_original,19.038654,47.261593,270.51123,1218.4739,1737.0588,1075.348,0.46875,377.41276192519456,3.45679012345679,1310.0
ＶＥＲＹ_original,2.0434818,3.9951124,43.748634,130.78284,98.557556,91.02967,0.6875,29.999674630053065,1.7532467532467533,227.0
ＶＯＣＥＳＰＥＣＩＡＬ_original,1.8206336,4.679824,30.366154,116.52055,114.121735,87.00281,0.921875,33.560878862839196,3.5638297872340425,117.0
ＹＵ－ＧＩ－ＯＨ！ＣＡＲＤＧＡＭＥＡ_original,0.034601286,0.04292569,0.35322922,2.2144823,42.050926,14.872879,0.921875,0.34340552069549773,0.0,0.0
Ｙｏｕｎｇｃｈａｍｐｉｏｎ_original,1.9398934,3.3319774,37.258686,124.153175,95.552986,85.654945,0.84375,24.606063553982185,4.390804597701149,161.0
ａｒ_original,1.2336208,2.4456651,21.856293,78.95173,59.309402,53.37248,0.75,18.92836709762673,4.391752577319588,96.0
ｄａｎｃｙｕ_ダンチュウ,3.0908594,4.0744057,106.88301,197.815,89.56574,131.42125,0.40625,18.659700673270542,19.85,150.0
ｅｃｌａｔ_エクラ,5.230092,8.949138,101.20389,334.7259,248.82892,228.25288,0.796875,64.89147186585274,3.0,513.0
ｋｏｄｏｍｏｅ_original,4.394666,8.085512,67.81468,281.25864,337.13174,228.73503,0.296875,51.32810119471535,14.727272727272727,334.0
ｎｉｃｏｌａ_original,2.2475462,3.6426935,49.04557,143.84296,84.67983,92.52279,0.859375,25.49498073313719,3.36046511627907,266.0
ｏｔｏｎａＭＵＳＥ_original,1.90863,4.0269523,42.84318,122.15232,96.140396,87.045296,0.90625,30.217921592613298,3.2555555555555555,175.0
ｓｙｕｎｋｏｎカフェごはん_original,0.95528144,1.369628,23.589619,61.138012,39.25978,41.329136,0.921875,10.200126961618581,17.844660194174757,100.0
