KEY_CODE,HTKSYORI,HTKSAKI,GASSAN,T001140001,T001140002,T001140003,T001140004,T001140005,T001140006,T001140007,T001140008,T001140009,T001140010,T001140011,T001140012,T001140013,T001140014,T001140015,T001140016,T001140017,T001140018,T001140019,T001140020,T001140021,T001140022,T001140023,T001140024,T001140025,T001140026,T001140027,T001140028,T001140029,T001140030,T001140031,T001140032,T001140033,T001140034,T001140035,T001140036,T001140037,T001140038,T001140039,T001140040,T001140041,T001140042,T001140043,T001140044,T001140045,T001140046,T001140047,T001140048,T001140049,T001140050
,,,,Å@êlå˚ÅiëçêîÅj,Å@êlå˚ÅiëçêîÅjÅ@íj,Å@êlå˚ÅiëçêîÅjÅ@èó,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@ëçêî,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@íj,Å@ÇOÅ`ÇPÇSçŒêlå˚Å@èó,Å@ÇPÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇTçŒà»è„êlå˚Å@íj,Å@ÇPÇTçŒà»è„êlå˚Å@èó,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@ëçêî,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@íj,Å@ÇPÇTÅ`ÇUÇSçŒêlå˚Å@èó,Å@ÇPÇWçŒà»è„êlå˚Å@ëçêî,Å@ÇPÇWçŒà»è„êlå˚Å@íj,Å@ÇPÇWçŒà»è„êlå˚Å@èó,Å@ÇQÇOçŒà»è„êlå˚Å@ëçêî,Å@ÇQÇOçŒà»è„êlå˚Å@íj,Å@ÇQÇOçŒà»è„êlå˚Å@èó,Å@ÇUÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇUÇTçŒà»è„êlå˚Å@íj,Å@ÇUÇTçŒà»è„êlå˚Å@èó,Å@ÇVÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇVÇTçŒà»è„êlå˚Å@íj,Å@ÇVÇTçŒà»è„êlå˚Å@èó,Å@ÇWÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇWÇTçŒà»è„êlå˚Å@íj,Å@ÇWÇTçŒà»è„êlå˚Å@èó,Å@ÇXÇTçŒà»è„êlå˚Å@ëçêî,Å@ÇXÇTçŒà»è„êlå˚Å@íj,Å@ÇXÇTçŒà»è„êlå˚Å@èó,Å@äOçëêlêlå˚Å@ëçêî,Å@äOçëêlêlå˚Å@íj,Å@äOçëêlêlå˚Å@èó,Å@ê¢ë—ëçêî,Å@àÍî ê¢ë—êî,Å@ÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇQêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇRêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇSêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇTêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇVêlà»è„ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@êeë∞ÇÃÇ›ÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞ê¢ë—êîÅ@àÍî ê¢ë—êî,Å@äjâ∆ë∞à»äOÇÃê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUçŒñ¢ñûê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ÇUÇTçŒà»è„ê¢ë—àıÇÃÇ¢ÇÈê¢ë—êîÅ@àÍî ê¢ë—êî,Å@ê¢ë—éÂÇÃîNóÓÇ™ÇQÇOÅ`ÇQÇXçŒÇÃÇPêlê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓíPêgê¢ë—êîÅ@àÍî ê¢ë—êî,Å@çÇóÓïvïwê¢ë—êîÅ@àÍî ê¢ë—êî
62400184,0,,,21,10,11,0,0,0,21,10,11,9,5,4,21,10,11,21,10,11,12,5,7,7,3,4,3,2,1,1,0,1,0,0,0,9,9,1,5,2,1,0,0,0,8,6,2,0,8,0,1,2
62400193,0,,,89,33,56,3,2,1,86,31,55,34,16,18,85,30,55,85,30,55,52,15,37,38,9,29,14,4,10,0,0,0,5,0,5,50,50,27,15,3,4,0,0,1,23,19,4,1,39,4,19,10
62400194,0,,,120,53,67,7,5,2,113,48,65,32,13,19,112,48,64,112,48,64,81,35,46,49,20,29,19,8,11,1,1,0,0,0,0,68,68,33,25,5,3,2,0,0,35,31,4,0,59,0,27,19
62400646,0,,,58,30,28,10,5,5,48,25,23,26,15,11,47,24,23,47,24,23,22,10,12,11,4,7,4,1,3,0,0,0,0,0,0,23,23,8,5,7,0,1,0,2,15,10,5,1,17,0,4,1
62400676,0,,,87,44,43,4,2,2,83,42,41,36,19,17,80,40,40,80,40,40,47,23,24,23,10,13,12,5,7,1,0,1,0,0,0,40,40,14,15,5,4,0,2,0,26,17,9,0,33,0,11,8
62400686,0,,,17,10,7,0,0,0,16,9,7,6,4,2,16,9,7,16,9,7,10,5,5,5,2,3,2,1,1,0,0,0,0,0,0,8,8,3,3,1,0,1,0,0,5,3,2,0,5,0,0,3
62400688,1,,62400698,49,25,24,6,4,2,46,22,24,18,10,8,46,22,24,46,22,24,28,12,16,19,8,11,4,2,2,0,0,0,0,0,0,22,22,10,7,2,2,0,1,1,13,8,5,3,21,0,9,4
62400698,2,62400688,,3,1,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
62401006,0,,,184,109,75,10,7,3,174,102,72,115,80,35,173,102,71,172,101,71,59,22,37,36,12,24,8,2,6,0,0,0,0,0,0,82,81,49,25,3,3,1,0,0,32,30,2,4,47,0,33,9
62401007,0,,,245,116,129,9,5,4,236,111,125,101,47,54,233,109,124,230,106,124,135,64,71,59,24,35,17,5,12,2,1,1,0,0,0,124,124,42,56,18,4,3,1,0,81,70,11,2,94,1,30,33
62401016,1,,62401025,206,90,116,9,5,4,199,85,114,112,63,49,194,82,112,193,82,111,87,22,65,67,13,54,51,8,43,12,1,11,21,0,21,94,93,66,16,10,1,0,1,0,28,26,2,2,12,10,3,4
62401017,0,,,675,300,375,47,26,21,622,271,351,324,148,176,610,265,345,608,263,345,298,123,175,170,58,112,59,19,40,7,2,5,3,2,1,345,344,153,120,45,21,4,1,0,190,172,18,13,182,16,76,64
62401018,0,,,698,319,379,61,25,36,637,294,343,317,161,156,626,289,337,622,288,334,320,133,187,188,71,117,55,18,37,4,1,3,2,1,1,353,352,148,128,45,19,9,3,0,203,184,19,13,210,11,74,76
62401019,0,,,703,329,374,72,36,36,631,293,338,356,180,176,620,289,331,616,287,329,275,113,162,133,49,84,35,12,23,3,1,2,3,2,1,369,369,162,126,47,25,7,1,1,205,182,23,25,198,13,82,64
62401024,2,62401034,,4,2,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
62401025,2,62401016,,2,0,2,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,1,1,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
62401028,0,,,20,12,8,0,0,0,20,12,8,13,8,5,20,12,8,20,12,8,7,4,3,1,0,1,0,0,0,0,0,0,0,0,0,12,12,8,1,2,1,0,0,0,4,4,0,0,6,0,4,1
62401029,0,,,203,94,109,31,19,12,172,75,97,115,51,64,166,72,94,163,72,91,57,24,33,23,10,13,8,3,5,0,0,0,0,0,0,95,95,32,35,18,5,3,2,0,63,61,2,7,40,3,16,14
