,item_id,forecast_start,MSE,abs_error,abs_target_sum,abs_target_mean,seasonal_error,MASE,MAPE,sMAPE,num_masked_target_values,ND,MSIS,QuantileLoss[0.1],Coverage[0.1],QuantileLoss[0.2],Coverage[0.2],QuantileLoss[0.3],Coverage[0.3],QuantileLoss[0.4],Coverage[0.4],QuantileLoss[0.5],Coverage[0.5],QuantileLoss[0.6],Coverage[0.6],QuantileLoss[0.7],Coverage[0.7],QuantileLoss[0.8],Coverage[0.8],QuantileLoss[0.9],Coverage[0.9]
0,,2024-05-07,1.6202880314418249,13.502452850341797,25.0,1.7857142857142858,1.6625,0.5801268678986808,0.553173303604126,0.5113791738237653,0.0,0.5400981307029724,3.2256161349456405,2.4838524818420415,0.6428571428571429,4.821251869201661,0.6428571428571429,6.846276211738587,0.6428571428571429,10.063201665878296,0.6428571428571429,13.502453565597534,0.6428571428571429,14.544683742523194,0.7857142857142857,14.963757038116457,0.7857142857142857,13.18890962600708,0.8571428571428571,8.39154586791992,0.9285714285714286
1,,2024-07-03,0.37280055454799105,7.194576740264893,19.0,1.3571428571428572,1.0895522388059702,0.4716601189801838,0.3676164150238037,0.35510144914899555,0.0,0.3786619305610657,4.399126060065745,1.076272463798523,0.0,2.1173685073852537,0.0,3.029597806930542,0.7142857142857143,5.138539838790893,0.7142857142857143,7.19457745552063,0.7142857142857143,8.117707538604737,0.7142857142857143,7.629128098487854,0.9285714285714286,7.648675632476805,0.9285714285714286,6.324451112747191,1.0
2,,2024-08-17,0.9294278281075614,9.90502643585205,24.0,1.7142857142857142,0.6885245901639344,1.0275622663043795,0.31852374758039204,0.42588938985552105,0.0,0.41270944476127625,5.093537058028461,2.0544060111045837,0.0,4.046046018600465,0.0,6.117311203479766,0.0,8.011590909957885,0.42857142857142855,9.905025839805603,0.42857142857142855,10.46425814628601,0.42857142857142855,9.405572962760925,0.42857142857142855,5.659156703948974,0.8571428571428571,3.7692806243896477,0.8571428571428571
3,,2024-10-11,68.88375418526786,84.32009887695312,117.0,8.357142857142858,4.168674698795181,1.4447911244399483,0.5789274488176618,0.8907252039228167,0.0,0.7206845879554749,11.808021728335994,20.521115112304688,0.0,40.93678932189942,0.0,61.012859344482415,0.0,73.37798070907593,0.0,84.32009720802307,0.07142857142857142,90.99187936782836,0.21428571428571427,88.09338846206664,0.2857142857142857,78.3051570892334,0.5,61.103445434570304,0.7142857142857143
4,,2024-07-21,0.8837895393371582,7.167022228240967,21.0,1.5,0.9767441860465116,0.524118972473404,0.21772500446864537,0.2903844288417271,0.0,0.3412867784500122,3.6067380770729423,1.4225276708602907,0.0,2.8711813449859624,0.6428571428571429,4.21741943359375,0.6428571428571429,5.69854474067688,0.6428571428571429,7.167022466659546,0.6428571428571429,8.925227880477905,0.6428571428571429,8.563732862472534,0.6428571428571429,7.166121768951415,0.9285714285714286,5.911505365371702,0.9285714285714286
5,,2024-04-27,6.347216469900949,26.8339786529541,39.0,2.7857142857142856,4.014705882352941,0.47742295876527446,0.7432903562273298,0.7142461368015834,0.0,0.6880507469177246,3.5253587281011147,5.100830602645875,0.0,10.238673973083497,0.5714285714285714,15.162190437316891,0.5,21.270000743865964,0.5714285714285714,26.833979606628418,0.5714285714285714,30.157702159881595,0.6428571428571429,28.674433374404906,0.6428571428571429,21.61479225158691,0.8571428571428571,17.09361877441406,1.0
6,,2024-05-09,0.41819637162344797,4.133245944976807,18.0,1.2857142857142858,0.625,0.4723709651402065,0.130781284400395,0.1767186267035348,0.0,0.22962477803230286,4.403393682766778,0.8187540650367737,0.0,1.6880293846130372,0.7857142857142857,2.430789601802826,0.5,3.337242364883423,0.7857142857142857,4.1332457065582275,0.7857142857142857,6.853433847427368,0.7857142857142857,7.17616765499115,0.7857142857142857,6.040889692306518,0.8571428571428571,4.392140960693359,0.9285714285714286
7,,2024-10-14,115.43425641741071,81.82112121582031,116.0,8.285714285714286,10.541666666666666,0.554406242004429,0.5902197701590401,0.6817866052900042,0.0,0.7053545117378235,5.316276365841194,20.48599662780762,0.0,40.40605144500732,0.07142857142857142,59.31236047744751,0.07142857142857142,71.7935350418091,0.21428571428571427,81.8211259841919,0.35714285714285715,88.96766986846923,0.5,94.4439161300659,0.7142857142857143,98.53040580749511,0.8571428571428571,62.86011352539062,0.8571428571428571
8,,2024-03-24,1.2999664034162248,7.330334663391113,21.0,1.5,1.144736842105263,0.4573936243166869,0.19720605441502162,0.26412716933659147,0.0,0.34906354546546936,4.954051902628904,1.4535697102546694,0.0,2.8188707113265994,0.2857142857142857,4.234148585796356,0.2857142857142857,5.718910455703736,0.7142857142857143,7.330334901809692,0.7142857142857143,10.520426177978516,0.7142857142857143,11.51183066368103,0.9285714285714286,12.15692844390869,0.9285714285714286,9.085971450805662,0.9285714285714286
9,,2024-09-30,1.7588507788521903,12.481990814208984,25.0,1.7857142857142858,1.5522388059701493,0.5743773245549464,0.4226870536804199,0.45922861780439106,0.0,0.49927961826324463,4.089193084329804,2.233198308944702,0.0,4.566855573654175,0.6428571428571429,6.781745433807374,0.6428571428571429,9.586451292037966,0.6428571428571429,12.481991529464722,0.6428571428571429,14.433091354370115,0.7857142857142857,15.282832670211794,0.7857142857142857,13.436905384063717,0.8571428571428571,8.600328731536862,0.9285714285714286
