book_name,MAE,RMSE,wQL_0.1,wQL_0.5,wQL_0.9,wQL_Mean,Coverage_80%,DTW_Shape,DTW_Time,Total_Sales
モデルグラフィックス_original,5.67064,9.4252205,183.33134,362.92096,332.78793,293.01343,0.953125,75.39063670278341,0.5454545454545454,318.0
モトチャンプ_original,1.4375813,2.1862636,38.01355,92.0052,71.42894,67.14923,0.9375,17.393069315269056,2.4927536231884058,86.0
モトツーリング_original,1.3244126,1.799719,35.424187,84.762405,52.79902,57.66187,0.9375,13.789008246121039,27.45378151260504,85.0
モノマガジン_original,1.7545046,2.702145,41.22114,112.28829,88.118004,80.54248,0.84375,20.922440453229367,16.0,146.0
モノマスター_original,1.0286009,1.1671908,29.811066,65.83046,43.23932,46.293613,1.0,8.23139436582444,6.344827586206897,43.0
モノマックス_original,3.3151288,4.6752057,84.390274,212.16824,149.56232,148.70695,0.90625,37.36208843686215,1.1014492753623188,273.0
ヤングアニマル_original,2.718103,4.473398,65.30837,173.95859,142.58759,127.28485,0.890625,31.732784839181324,19.953271028037385,205.0
ヤングエース_original,1.5342488,2.538047,58.879982,98.191925,94.69745,83.92312,0.96875,20.298029252528895,0.09230769230769231,67.0
ヤングガンガン_original,4.87764,7.7891583,132.01083,312.16895,233.62602,225.93526,0.921875,48.60838874828597,5.0344827586206895,418.0
ヤングキングアワーズ_original,1.9076627,3.344425,54.568016,122.090416,115.00363,97.22068,0.875,26.64693053974648,11.45054945054945,99.0
ヤングギター_original,1.3803256,2.4029214,48.70906,88.340836,75.69593,70.915276,0.9375,19.115127892885116,1.2328767123287672,88.0
ヤングジャンプ_original,4.076165,8.188507,184.60136,260.87457,201.66025,215.71208,0.953125,64.09150021233603,0.3611111111111111,1261.0
ヤングチャンピ_original,1.4431269,2.6587617,37.743725,92.36012,88.55004,72.884636,0.921875,21.19071703707345,11.872340425531915,73.0
ヤングチャンピオン_烈,1.439625,2.0571544,42.23177,92.136,67.86329,67.41035,0.90625,16.4499962458178,0.6363636363636364,70.0
ヤングマガジン_original,4.1763434,5.995824,130.89232,267.28598,189.7711,195.98314,0.9375,40.452874391230594,1.6385542168674698,410.0
ライトニング_original,1.7794613,2.881741,43.153706,113.88552,98.685585,85.24161,0.796875,22.510795659431835,20.458715596330276,144.0
ラグビーマガジン_original,6.2268867,11.983212,137.55504,398.52075,431.5692,322.54834,0.796875,90.69414727962373,30.736,434.0
